"5734","崇真小學暨幼稚園（本地課程）","九龍深水埗大埔道58號"
"6574","啓思小學附屬幼稚園","九龍九龍塘牛津道2A號地下及1樓"
"6575","ST. CATHERINE'S KINDERGARTEN (HARBOUR PLACE)","九龍紅磡愛景街8號海濱南岸1樓"
"6576","香港聖公會麥理浩夫人中心〈石蔭〉幼稚園","新界葵涌石蔭邨2期商場地下"
"6577","伊頓國際幼稚園（大埔）","香港大潭紅山道3號紅山廣場1樓102號舖"
"6578","保良局梁安琪幼稚園","九龍深水埗石硤尾邨美盛樓 1 樓"
"6580","INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (KINDERGARTEN SECTION)","新界大埔康樂園第二十街5號"
"6581","蔚思幼稚園","九龍海輝道8號浪澄灣廣場高層地下8-10號"
"6584","永樂創新英文幼稚園","九龍鑽石山龍蟠苑商場第OT/KG01號舖"
"6585","香港靈糧堂荃灣幼稚園","新界荃灣海濱花園平台C(第九至十二座)P層幼稚園"
"6586","遵道幼稚園","新界元朗丈量約份第１１５約南邊圍地段２３９號地下"
"6587","耀基創藝幼稚園（上水）","新界上水鳳南路9號翠麗花園商場地下23及24號舖"
"6588","英藝幼稚園（屯門）","新界屯門德政圍56-76號桃苑地下05號舖及1樓"
"6589","雅麗斯樂思幼稚園","新界元朗青山公路洪水橋段600號尚城地下及1樓幼稚園"
"6590","文娜雅拔幼稚園（九龍城）","九龍侯王道19號地下部份、1樓及2樓"
"6591","基督教安得兒幼稚園（灣景）","新界荃灣青山公路633號灣景花園地庫2層"
"6592","伽利利國際幼稚園","九龍何文田太平道2號太平花園地下及1樓"
"6593","GOLDEN GATE INTERNATIONAL KINDERGARTEN","九龍漆咸道北388號昇御商場1樓102號舖"
"6594","雅然中英文幼稚園","香港筲箕灣望隆街2號銀河廣場閣樓全層"
"6595","英藝幼稚園（賞湖）","新界元朗天水圍天水圍市地段第2號餘段嘉湖山莊賞湖居地下及1樓"
"6596","心怡天地幼稚園（麗城）","新界荃灣青山公路荃灣段620號麗城花園第2期麗城薈1樓101號-118號及部份地下"
"6597","安東尼亞國際幼稚園","新界荃灣青山公路15-23號荃灣花園1低層地下31-33 78-80及84-87號舖"
"6598","崇真小學暨幼稚園（非本地課程）","九龍深水埗大埔道58號"
"6599","倫敦家國際幼稚園","新界沙田沙角街8-12號花園城第1期3樓"
"6600","MORI LISA INTERNATIONAL KINDERGARTEN","香港柴灣泰民街１４號康翠臺第７座平台及高層地下部份"
"6601","聖姬莉國際幼稚園","九龍九龍城福佬村道12號博林軒1樓A及B舖 地下A舖"
"6602","香港靈糧堂秀德幼稚園","九龍荔枝角道873號1號.西九龍西九龍薈1樓6-8號舖"
"6603","佛教陳策文伉儷幼稚園","九龍承啟道28號德朗邨幼稚園"
"6604","善行國際幼稚園","香港大坑勵德邨道２號勵德坊８座地下及低層地下２號舖"
"6605","港青基信幼稚園（啟晴）","九龍九龍城沐虹街１２號啟晴邨賞晴樓地下"
"6606","弘立幼稚園","香港上環普仁街１７號東輝花園地下２－３號舖及４號舖地下連閣樓"
"6607","樂沛兒幼稚園","九龍窩打老道６５－６５Ｄ號年豐樓地下Ｂ２舖、一樓及二樓"
"6608","NORWEGIAN INTERNATIONAL  SCHOOL","新界大埔廣福道大埔平房及錦山路170號"
"6609","英臻幼稚園","新界元朗天水圍嘉湖山莊翠湖居地下"
"6611","中華基督教會屯門堂幼稚園二校","新界屯門井財街２９號１樓"
"6612","小牛頓中英文幼稚園","新界屯門井財街１１Ａ號南光樓１樓"
"6613","溫莎中英文幼稚園","新界沙田崗背街１－３號花園城第二期第三層平台幼稚園校舍"
"6614","樂䔄幼稚園（海峰園）","香港北角福蔭道１號海峰園南峯閣地下Ｇ０１Ｂ號舖及１樓"
"6615","香港靈糧堂秀德幼稚園（二校）","九龍荔枝角道８７３號一號．西九龍西九龍薈一樓２－３，１１－１３，１５－１８號舖"
"6616","雅惠國際幼稚園","新界將軍澳澳景路８８號維景灣畔３期低層地下１樓Ｆ號舖"
"6617","香港中文大學校友會聯會順龍仁澤幼稚園","新界元朗天水圍天靖街３號天盛苑服務設施大樓２樓"
"6618","創意方方樂趣幼稚園","九龍土瓜灣崇安街３３號旭日豪庭地下１Ｂ號舖及一樓平台Ｌ１號舖"
"6619","樂希幼兒學校","九龍界限街６８號曉珀‧御地下及一樓全層"
"6620","伊頓國際幼稚園（大埔）","新界大埔科進路２３號逸瓏灣１期商場地下部份及低層地下幼稚園校舍"
"6621","信望愛方方樂趣幼稚園","新界荃灣海濱花園Ｅ號平台４樓Ａ"
"6622","６１１生命樹幼稚園","新界荃灣怡樂街２－１２號海濱花園Ｄ平台"
"6623","德怡國際幼稚園（元朗）","新界元朗元朗泰祥街１４號盛發大廈地下（部份）及１樓"
"6624","啟興璀尼迪國際幼稚園","新界大嶼山梅窩梅窩碼頭路１９號海愉花園地下１號舖"
"12475","銅鑼灣維多利亞幼稚園","香港銅鑼灣興發街32-36號地下及2樓"
"12479","德寶中英文幼稚園（黃埔花園）（本地課程）","九龍紅磡黃埔花園第2期平台1樓"
"12481","港青基信幼兒學校（農圃道）","九龍九龍城農圃道11號帝庭豪園地下"
"12487","東華三院蕭旺李滿褔幼兒園","香港香港仔漁暉道18號港暉中心高層地下1-2號"
"12488","嬰幼兒心理發展協會（置富）幼稚園","香港薄扶林置富花園H14座地下"
"12491","港青基信國際幼稚園（西九龍）","九龍保安道373號港青西九龍耀信發展學習中心低層"
"12493","香港教育大學幼兒發展中心（幼稚園部）","新界大埔露屏路10號香港教育學院高級職員宿舍G02-G05"
"12504","港青基信國際幼稚園","九龍尖沙咀梳士巴利道41號香港基督教青年會2樓"
"12533","遵道幼稚園","新界元朗丈量約份第１１５約地段第１０２號Ａ分段第１小分段地下"
"13108","HAMILTON HILL INTERNATIONAL KINDERGARTEN","香港北角清華街１－３號清華大廈地下高層"
"13109","比高樂國際幼稚園","九龍界限街１６６－１６６Ａ地下一樓及二樓"
"13110","德萃幼稚園","九龍界限街５１號曉珀地下、一樓及二樓"
"13111","念蘅幼稚園","九龍九龍城沙浦道４６號豪門２樓"
"13112","英國文化協會國際幼稚園","香港金鐘法院道３號１樓部份及２樓部份"
"13113","香港民生幼稚園（西區）","香港皇后大道西５１３－５１９號尼斯花園地下Ａ舖及一樓"
"13114","DISCOVERY MONTESSORI ACADEMY","新界大嶼山愉景灣北１座"
"13115","綠茵英文（國際）幼稚園（日出康城）","新界將軍澳日出康城３期緻藍天幼稚園座"
"13116","THE WOODLAND BEACHSIDE PRE-SCHOOL","香港淺水灣海灘道３５號２樓Ａ２－Ｈ舖"
"13117","綠茵英文（國際）幼稚園（嵐山）","新界大埔鳳園路９號嵐山幼稚園"
"13118","太陽島英文幼稚園﹝樂民﹞","九龍靠背壟道１５２號樂民新村Ｆ座一樓"
"13119","麥克萊國際幼稚園","新界粉嶺馬適路綠悠軒商場１樓１－１１號Ａ舖"
"13120","學之園幼稚園（迎海）","新界沙田馬鞍山落禾沙烏溪沙路８號迎海３期１樓"
"13121","保良局李樹福幼稚園","九龍順安邨安頌樓地下２號舖及商業大樓１座地下及１樓２號舖"
